Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2,Annual production
"market for electricity, low voltage, renewable energy products",CH,,3, slanted-roof , single-Si, panel, mounted, on roof,1664.09
"market for electricity, low voltage, renewable energy products",CH,,3, slanted-roof , multi-Si, panel, mounted, on roof,1795.22
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , CIS, laminated, integrated, on roof,1664.09
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , CdTe, panel, mounted, on roof,1795.22
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , micro-Si, laminated, integrated, on roof,1640.68
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , micro-Si, panel, mounted, on roof,1640.68
"market for electricity, low voltage",BJ,WAF,3, facade , multi-Si, laminated, integrated, at building,780.61
"market for electricity, low voltage",BJ,WAF,3, facade , multi-Si, panel, mounted, at building,780.61
"market for electricity, low voltage",BJ,WAF,3, facade , single-Si, laminated, integrated, at building,780.61
"market for electricity, low voltage",BJ,WAF,3, facade , single-Si, panel, mounted, at building,780.61
"market for electricity, low voltage",BJ,WAF,3, flat-roof , multi-Si, on roof,,,1640.68
"market for electricity, low voltage",BJ,WAF,3, flat-roof , single-Si, on roof,,,1640.68
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , CIS, panel, mounted, on roof,1664.09
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , CdTe, laminated, integrated, on roof,1795.22
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , multi-Si, laminated, integrated, on roof,1640.68
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , multi-Si, panel, mounted, on roof,1640.68
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , single-Si, laminated, integrated, on roof,1640.68
"market for electricity, low voltage",BJ,WAF,3, slanted-roof , single-Si, panel, mounted, on roof,1640.68
"market for electricity, high voltage",CZ,CEU,156, flat-roof , multi-Si, on roof,,,891.46
"market for electricity, high voltage",CZ,CEU,156, flat-roof , single-Si, on roof,,,891.46
"market for electricity, high voltage",CZ,CEU,570, open ground , CIS, on open ground,,,1061.41
"market for electricity, high voltage",CZ,CEU,570, open ground , CdTe, on open ground,,,1087.34
"market for electricity, high voltage",CZ,CEU,570, open ground , micro-Si, on open ground,,,1087.77
"market for electricity, high voltage",CZ,CEU,570, open ground , multi-Si, on open ground,,,1087.77
"market for electricity, high voltage",CZ,CEU,570, open ground , single-Si, on open ground,,,1087.77
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , multi-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , single-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , single-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",CZ,CEU,156, flat-roof , multi-Si, on roof,,,891.46
"market for electricity, high voltage",CZ,CEU,156, flat-roof , single-Si, on roof,,,891.46
"market for electricity, high voltage",CZ,CEU,570, open ground , CIS, on open ground,,,1061.41
"market for electricity, high voltage",CZ,CEU,570, open ground , CdTe, on open ground,,,1087.34
"market for electricity, high voltage",CZ,CEU,570, open ground , micro-Si, on open ground,,,1087.77
"market for electricity, high voltage",CZ,CEU,570, open ground , multi-Si, on open ground,,,1087.77
"market for electricity, high voltage",CZ,CEU,570, open ground , single-Si, on open ground,,,1087.77
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , multi-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , single-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",CZ,CEU,93, slanted-roof , single-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",LT,CEU,156, flat-roof , multi-Si, on roof,,,891.46
"market for electricity, high voltage",LT,CEU,156, flat-roof , single-Si, on roof,,,891.46
"market for electricity, high voltage",LT,CEU,570, open ground , CIS, on open ground,,,1061.41
"market for electricity, high voltage",LT,CEU,570, open ground , CdTe, on open ground,,,1087.34
"market for electricity, high voltage",LT,CEU,570, open ground , micro-Si, on open ground,,,1087.77
"market for electricity, high voltage",LT,CEU,570, open ground , multi-Si, on open ground,,,1087.77
"market for electricity, high voltage",LT,CEU,570, open ground , single-Si, on open ground,,,1087.77
"market for electricity, high voltage",LT,CEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",LT,CEU,93, slanted-roof , multi-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",LT,CEU,93, slanted-roof , single-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",LT,CEU,93, slanted-roof , single-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",LT,CEU,156, flat-roof , multi-Si, on roof,,,891.46
"market for electricity, high voltage",LT,CEU,156, flat-roof , single-Si, on roof,,,891.46
"market for electricity, high voltage",LT,CEU,570, open ground , CIS, on open ground,,,1061.41
"market for electricity, high voltage",LT,CEU,570, open ground , CdTe, on open ground,,,1087.34
"market for electricity, high voltage",LT,CEU,570, open ground , micro-Si, on open ground,,,1087.77
"market for electricity, high voltage",LT,CEU,570, open ground , multi-Si, on open ground,,,1087.77
"market for electricity, high voltage",LT,CEU,570, open ground , single-Si, on open ground,,,1087.77
"market for electricity, high voltage",LT,CEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",LT,CEU,93, slanted-roof , multi-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",LT,CEU,93, slanted-roof , single-Si, laminated, integrated, on roof,891.46
"market for electricity, high voltage",LT,CEU,93, slanted-roof , single-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",MM,SEAS,156, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, high voltage",MM,SEAS,156, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, high voltage",MM,SEAS,570, open ground , CIS, on open ground,,,1327.32
"market for electricity, high voltage",MM,SEAS,570, open ground , CdTe, on open ground,,,1450.47
"market for electricity, high voltage",MM,SEAS,570, open ground , micro-Si, on open ground,,,1336.15
"market for electricity, high voltage",MM,SEAS,570, open ground , multi-Si, on open ground,,,1336.15
"market for electricity, high voltage",MM,SEAS,570, open ground , single-Si, on open ground,,,1336.15
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , single-Si, panel, mounted, on roof,1279.36
