,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
0,"market for electricity, low voltage, renewable energy products",CH,, 3, slanted-roof , single-Si, panel, mounted, on roof
1,"market for electricity, low voltage, renewable energy products",CH,, 3, slanted-roof , multi-Si, panel, mounted, on roof
0,"market for electricity, low voltage",CN-SWG,CHN, 3 , slanted-roof , CIS, laminated, integrated, on roof
1,"market for electricity, low voltage",CN-SWG,CHN, 3 , slanted-roof , CdTe, panel, mounted, on roof
2,"market for electricity, low voltage",CN-SWG,CHN, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
3,"market for electricity, low voltage",CN-SWG,CHN, 3 , slanted-roof , micro-Si, panel, mounted, on roof
4,"market for electricity, low voltage",CN-SWG,CHN, 3, facade , multi-Si, laminated, integrated, at building
5,"market for electricity, low voltage",CN-SWG,CHN, 3, facade , multi-Si, panel, mounted, at building
6,"market for electricity, low voltage",CN-SWG,CHN, 3, facade , single-Si, laminated, integrated, at building
7,"market for electricity, low voltage",CN-SWG,CHN, 3, facade , single-Si, panel, mounted, at building
8,"market for electricity, low voltage",CN-SWG,CHN, 3, flat-roof , multi-Si, on roof,,
9,"market for electricity, low voltage",CN-SWG,CHN, 3, flat-roof , single-Si, on roof,,
10,"market for electricity, low voltage",CN-SWG,CHN, 3, slanted-roof , CIS, panel, mounted, on roof
11,"market for electricity, low voltage",CN-SWG,CHN, 3, slanted-roof , CdTe, laminated, integrated, on roof
12,"market for electricity, low voltage",CN-SWG,CHN, 3, slanted-roof , multi-Si, laminated, integrated, on roof
13,"market for electricity, low voltage",CN-SWG,CHN, 3, slanted-roof , multi-Si, panel, mounted, on roof
14,"market for electricity, low voltage",CN-SWG,CHN, 3, slanted-roof , single-Si, laminated, integrated, on roof
15,"market for electricity, low voltage",CN-SWG,CHN, 3, slanted-roof , single-Si, panel, mounted, on roof
16,"market for electricity, high voltage",LY,NAF, 156 , flat-roof , multi-Si, on roof,,
17,"market for electricity, high voltage",LY,NAF, 156 , flat-roof , single-Si, on roof,,
18,"market for electricity, high voltage",LY,NAF, 570 , open ground , CIS, on open ground,,
19,"market for electricity, high voltage",LY,NAF, 570 , open ground , CdTe, on open ground,,
20,"market for electricity, high voltage",LY,NAF, 570 , open ground , micro-Si, on open ground,,
21,"market for electricity, high voltage",LY,NAF, 570 , open ground , multi-Si, on open ground,,
22,"market for electricity, high voltage",LY,NAF, 570 , open ground , single-Si, on open ground,,
23,"market for electricity, high voltage",LY,NAF, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
24,"market for electricity, high voltage",LY,NAF, 93 , slanted-roof , multi-Si, panel, mounted, on roof
25,"market for electricity, high voltage",LY,NAF, 93 , slanted-roof , single-Si, laminated, integrated, on roof
26,"market for electricity, high voltage",LY,NAF, 93 , slanted-roof , single-Si, panel, mounted, on roof
27,"market for electricity, high voltage",SN,WAF, 156 , flat-roof , multi-Si, on roof,,
28,"market for electricity, high voltage",SN,WAF, 156 , flat-roof , single-Si, on roof,,
29,"market for electricity, high voltage",SN,WAF, 570 , open ground , CIS, on open ground,,
30,"market for electricity, high voltage",SN,WAF, 570 , open ground , CdTe, on open ground,,
31,"market for electricity, high voltage",SN,WAF, 570 , open ground , micro-Si, on open ground,,
32,"market for electricity, high voltage",SN,WAF, 570 , open ground , multi-Si, on open ground,,
33,"market for electricity, high voltage",SN,WAF, 570 , open ground , single-Si, on open ground,,
34,"market for electricity, high voltage",SN,WAF, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
35,"market for electricity, high voltage",SN,WAF, 93 , slanted-roof , multi-Si, panel, mounted, on roof
36,"market for electricity, high voltage",SN,WAF, 93 , slanted-roof , single-Si, laminated, integrated, on roof
37,"market for electricity, high voltage",SN,WAF, 93 , slanted-roof , single-Si, panel, mounted, on roof
38,"market for electricity, low voltage",CA-YK,CAN, 3 , slanted-roof , CIS, laminated, integrated, on roof
39,"market for electricity, low voltage",CA-YK,CAN, 3 , slanted-roof , CdTe, panel, mounted, on roof
40,"market for electricity, low voltage",CA-YK,CAN, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
41,"market for electricity, low voltage",CA-YK,CAN, 3 , slanted-roof , micro-Si, panel, mounted, on roof
42,"market for electricity, low voltage",CA-YK,CAN, 3, facade , multi-Si, laminated, integrated, at building
43,"market for electricity, low voltage",CA-YK,CAN, 3, facade , multi-Si, panel, mounted, at building
